Абхазия;Сухум
Австралия;Канберра
Австрия;Вена
Азербайджан;Баку
Албания;Тирана
Алжир;Алжир
Ангола;Луанда
Андорра;Андорра-ла-Велья
Антигуа и Барбуда;Сент-Джонс
Аргентина;Буэнос-Айрес
Армения;ЕреванГайана
Афганистан;Кабул
Багамские Острова;Нассау
Бангладеш;Дакка
Барбадос;Бриджтаун
Бахрейн;Манама
Белиз;Бельмопан
Белоруссия;Минск
Бельгия;Брюссель
Бенин;Порто-Ново
Болгария;София
Боливия;Сукре
Босния и Герцеговина;Сараево
Ботсвана;Габороне
Бразилия;Бразилиа
Бруней;Бандар-Сери-Бегаван
Буркина-Фасо;Уагадугу
Бурунди;Гитега
Бутан;Тхимпху
Вануату;Порт-Вила
Ватикан;Ватикан
Великобритания;Лондон
Венгрия;Будапешт
Венесуэла;Каракас
Восточный Тимор;Дили
Вьетнам;Ханой
Габон;Либревиль
Гаити;Порт-о-Пренс
Гамбия;Банжул
Гана;Аккра
Гватемала;Гватемала
Гвинея;Конакри
Гвинея-Бисау;Бисау
Германия;Берлин
Гондурас;Тегусигальпа
Государство Палестина;Иерусалим (Рамалла)
Гренада;Сент-Джорджес
Греция;Афины
Грузия;Тбилиси
ДР Конго;Киншаса
Дания;Копенгаген
Джибути;Джибути
Доминика;Розо
Доминиканская Республика;Санто-Доминго
Египет;Каир
Замбия;Лусака
Зимбабве;Хараре
Израиль;Иерусалим
Индия;Нью-Дели
Индонезия;Джакарта
Иордания;Амман
Ирак;Багдад
Иран;Тегеран
Ирландия;Дублин
Исландия;Рейкьявик
Испания;Мадрид
Италия;Рим
Йемен;Сана
КНДР;Пхеньян
Кабо-Верде;Прая
Казахстан;Нур-Султан
Камбоджа;Пномпень
Камерун;Яунде
Канада;Оттава
Катар;Доха
Кения;Найроби
Кипр;Никосия
Киргизия;Бишкек
Кирибати;Южная Тарава
Китай;Пекин
Колумбия;Богота
Коморские Острова;Морони
Коста-Рика;Сан-Хосе
Кот-д'Ивуар;Ямусукро
Куба;Гавана
Кувейт;Эль-Кувейт
Лаос;Вьентьян
Латвия;Рига
Лесото;Масеру
Либерия;Монровия
Ливан;Бейрут
Ливия;Триполи
Литва;Вильнюс
Лихтенштейн;Вадуц
Люксембург;Люксембург
Маврикий;Порт-Луи
Мавритания;Нуакшот
Мадагаскар;Антананариву
Малави;Лилонгве
Малайзия;Куала-Лумпур
Мали;Бамако
Мальдивские Острова;Мале
Мальта;Валлетта
Марокко;Рабат
Маршалловы Острова;Маджуро
Мексика;Мехико
Мозамбик;Мапуту
Молдавия;Кишинёв
Монако;Монако
Монголия;Улан-Батор
Мьянма;Нейпьидо
Намибия;Виндхук
Науру;[нет столицы]
Непал;Катманду
Нигер;Ниамей
Нигерия;Абуджа
Нидерланды;Амстердам
Никарагуа;Манагуа
Новая Зеландия;Веллингтон
Норвегия;Осло
ОАЭ;Абу-Даби
Оман;Маскат
Пакистан;Исламабад
Палау;Нгерулмуд
Панама;Панама
Папуа - Новая Гвинея;Порт-Морсби
Парагвай;Асунсьон
Перу;Лима
Польша;Варшава
Португалия;Лиссабон
Республика Конго;Браззавиль
Республика Корея;Сеул
Россия;Москва
Руанда;Кигали
Румыния;Бухарест
США;Вашингтон
Сальвадор;Сан-Сальвадор
Самоа;Апиа
Сан-Марино;Сан-Марино
Сан-Томе и Принсипи;Сан-Томе
Саудовская Аравия;Эр-Рияд
Северная Македония;Скопье
Сейшельские Острова;Виктория
Сенегал;Дакар
Сент-Винсент и Гренадины;Кингстаун
Сент-Китс и Невис;Бастер
Сент-Люсия;Кастри
Сербия;Белград
Сингапур;Сингапур
Сирия;Дамаск
Словакия;Братислава
Словения;Любляна
Соломоновы Острова;Хониара
Сомали;Могадишо
Судан;Хартум
Суринам;Парамарибо
Сьерра-Леоне;Фритаун
Таджикистан;Душанбе
Таиланд;Бангкок
Танзания;Додома
Того;Ломе
Тонга;Нукуалофа
Тринидад и Тобаго;Порт-оф-Спейн
Тувалу;Фунафути
Тунис;Тунис
Туркмения;Ашхабад
Турция;Анкара
Уганда;Кампала
Узбекистан;Ташкент
Украина;Киев
Уругвай;Монтевидео
Федеративные Штаты Микронезии;Паликир
Фиджи;Сува
Филиппины;Манила
Финляндия;Хельсинки
Франция;Париж
Хорватия;Загреб
ЦАР;Банги
Чад;Нджамена
Черногория;Подгорица
Чехия;Прага
Чили;Сантьяго
Швейцария;Берн
Швеция;Стокгольм
Шри-Ланка;Шри-Джаяварденепура-Котте
Эквадор;Кито
Экваториальная Гвинея;Малабо
Эритрея;Асмэра
Эсватини;Мбабане
Эстония;Таллин
Эфиопия;Аддис-Абеба
ЮАР;Претория
Южная Осетия;Цхинвал
Южный Судан;Джуба
Ямайка;Кингстон
Япония;Токио
